id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
320,\texthtt,\texthtt,0,,single symbol
321,\textscoelig,\textscoelig,630,,single symbol
322,epsilon (closed variant),\textcloseepsilon,666,,single symbol
323,\texthvlig,\texthvlig,405,LATIN SMALL LETTER HV,single symbol
324,\textscomega,\textscomega,43877,,single symbol
325,\textcloseomega,\textcloseomega,631,,single symbol
326,\textinvglotstop,\textinvglotstop,662,,single symbol
327,\textscr,\textscr,640,,single symbol
328,epsilon (closed and reversed variant),\textcloserevepsilon,606,,single symbol
329,\textinvscr,\textinvscr,0,,single symbol
330,\textscripta,\textscripta,0,,single symbol
331,\textcommatailz,\textcommatailz,549,,single symbol
332,\textiota,\textiota,617,,single symbol
333,\textscriptg,\textscriptg,0,,single symbol
334,\textcorner,\textcorner,0,,single symbol
335,\textlambda,\textlambda,0,,single symbol
336,\textscriptv,\textscriptv,0,,single symbol
337,\textcrb,\textcrb,384,,single symbol
338,\textlengthmark,\textlengthmark,720,,single symbol
339,\textscu,\textscu,7452,,single symbol
340,\textcrd,\textcrd,273,,single symbol
341,\textlhookt,\textlhookt,0,,single symbol
342,\textscy,\textscy,0,,single symbol
343,\textcrg,\textcrg,0,,single symbol
344,\textlhtlongi,\textlhtlongi,0,,single symbol
345,\textsecstress,\textsecstress,712,,single symbol
346,\textcrh,\textcrh,0,,single symbol
347,\textlhtlongy,\textlhtlongy,686,,single symbol
348,\textsoftsign,\textsoftsign,0,,single symbol
349,\textcrinvglotstop,\textcrinvglotstop,0,,single symbol
350,\textlonglegr,\textlonglegr,636,,single symbol
351,\textstretchc,\textstretchc,663,,single symbol
352,\textcrlambda,\textcrlambda,411,,single symbol
353,\textlptr,\textlptr,706,,single symbol
354,\texttctclig,\texttctclig,0,,single symbol
355,\textcrtwo,\textcrtwo,0,,single symbol
356,\textltailm,\textltailm,625,,single symbol
357,\textteshlig,\textteshlig,679,,single symbol
358,\textctc,\textctc,597,,single symbol
359,\textltailn,\textltailn,626,,single symbol
360,\texttheta,\texttheta,952,GREEK SMALL LETTER THETA,single symbol
361,\textctd,\textctd,545,,single symbol
362,\textltilde,\textltilde,619,,single symbol
363,\textthorn,\textthorn,0,,single symbol
364,\textctdctzlig,\textctdctzlig,677,,single symbol
365,\textlyoghlig,\textlyoghlig,622,,single symbol
366,\texttoneletterstem,\texttoneletterstem,448,,single symbol
367,\textctesh,\textctesh,646,,single symbol
368,\textObardotlessj,\textObardotlessj,0,,single symbol
369,\texttslig,\texttslig,678,,single symbol
370,\textctj,\textctj,0,,single symbol
371,\textOlyoghlig,\textOlyoghlig,0,,single symbol
372,\textturna,\textturna,592,,single symbol
373,\textctn,\textctn,565,,single symbol
374,omega (variant),\textomega,969,,single symbol
375,\textturncelig,\textturncelig,0,,single symbol
376,\textctt,\textctt,566,,single symbol
377,\textopencorner,\textopencorner,0,,single symbol
378,\textturnh,\textturnh,613,,single symbol
379,\textcttctclig,\textcttctclig,680,,single symbol
380,\textopeno,\textopeno,0,,single symbol
381,\textturnk,\textturnk,670,LATIN SMALL LETTER TURNED K,single symbol
382,\textctyogh,\textctyogh,659,,single symbol
383,\textpalhook,\textpalhook,801,,single symbol
384,\textturnlonglegr,\textturnlonglegr,634,,single symbol
385,\textctz,\textctz,657,,single symbol
386,\textphi,\textphi,632,LATIN SMALL LETTER PHI,single symbol
387,\textturnm,\textturnm,0,,single symbol
388,\textdctzlig,\textdctzlig,0,,single symbol
389,\textpipe,\textpipe,0,,single symbol
390,\textturnmrleg,\textturnmrleg,624,,single symbol
391,\textdoublebaresh,\textdoublebaresh,0,,single symbol
392,\textprimstress,\textprimstress,0,,single symbol
393,\textturnr,\textturnr,633,,single symbol
394,\textdoublebarpipe,\textdoublebarpipe,450,,single symbol
395,\textraiseglotstop,\textraiseglotstop,704,,single symbol
396,\textturnrrtail,\textturnrrtail,635,,single symbol
397,\textdoublebarslash,\textdoublebarslash,0,,single symbol
398,\textraisevibyi,\textraisevibyi,0,,single symbol
399,\textturnscripta,\textturnscripta,0,,single symbol
400,\textdoublepipe,\textdoublepipe,449,LATIN LETTER ALVEOLAR CLICK,single symbol
401,\textramshorns,\textramshorns,0,,single symbol
402,\textturnt,\textturnt,647,,single symbol
403,\textdoublevertline,\textdoublevertline,449,,single symbol
404,\textrevapostrophe,\textrevapostrophe,701,,single symbol
405,\textturnv,\textturnv,652,,single symbol
406,\textdownstep,\textdownstep,0,,single symbol
407,\textreve,\textreve,600,,single symbol
408,\textturnw,\textturnw,653,,single symbol
409,\textdyoghlig,\textdyoghlig,676,,single symbol
410,epsilon (reversed variant),\textrevepsilon,604,,single symbol
411,\textturny,\textturny,654,,single symbol
412,\textdzlig,\textdzlig,499,,single symbol
413,\textrevglotstop,\textrevglotstop,661,,single symbol
414,\textupsilon,\textupsilon,650,,single symbol
415,epsilon,\textepsilon,949,,single symbol
416,\textrevyogh,\textrevyogh,441,,single symbol
417,\textupstep,\textupstep,0,,single symbol
418,\textesh,\textesh,643,,single symbol
419,epsilon with hook,\textrhookrevepsilon,605,,single symbol
420,\textvertline,\textvertline,448,,single symbol
421,\textfishhookr,\textfishhookr,638,,single symbol
422,\textrhookschwa,\textrhookschwa,602,,single symbol
423,\textvibyi,\textvibyi,0,,single symbol
424,\textg,\textg,609,,single symbol
425,\textrhoticity,\textrhoticity,0,,single symbol
426,\textvibyy,\textvibyy,687,,single symbol
427,\textgamma,\textgamma,611,,single symbol
428,\textrptr,\textrptr,707,,single symbol
429,\textwynn,\textwynn,0,,single symbol
430,\textglobfall,\textglobfall,8600,,single symbol
431,\textrtaild,\textrtaild,598,,single symbol
432,\textyogh,\textyogh,658,,single symbol
433,\textglobrise,\textglobrise,8599,,single symbol
434,\textrtaill,\textrtaill,621,,single symbol
435,\textbaht,\textbaht,3647,,single symbol
436,\textdollar,\textdollar,36,DOLLAR SIGN,single symbol
437,\textguarani,\textguarani,8370,,single symbol
438,\textwon,\textwon,8361,,single symbol
439,\textcent,\textcent,162,CENT SIGN,single symbol
440,\textdollaroldstyle,\textdollaroldstyle,0,,single symbol
441,\textlira,\textlira,8356,,single symbol
442,yen,\textyen,165,YEN SIGN,single symbol
443,\textcentoldstyle,\textcentoldstyle,162,,single symbol
444,\textdong,\textdong,8363,,single symbol
445,\textnaira,\textnaira,8358,,single symbol
446,\textcolonmonetary,\textcolonmonetary,0,,single symbol
447,\texteuro,\texteuro,8364,EURO SIGN,single symbol
448,\textpeso,\textpeso,8369,,single symbol
449,\textcurrency,\textcurrency,164,CURRENCY SIGN,single symbol
450,\textflorin,\textflorin,402,,single symbol
451,"Pound sign (sterling, upright variant)",\textsterling,163,POUND SIGN,single symbol
452,\Denarius,\Denarius,0,,single symbol
453,\EUR,\EUR,8364,,single symbol
454,\EURdig,\EURdig,8364,,single symbol
455,\EURtm,\EURtm,8364,,single symbol
456,\Pfund,\Pfund,0,,single symbol
457,\Ecommerce,\Ecommerce,0,,single symbol
458,\EURcr,\EURcr,8364,,single symbol
459,\EURhv,\EURhv,0,,single symbol
460,\EyesDollar,\EyesDollar,0,,single symbol
461,\Shilling,\Shilling,0,,single symbol
462,\cent,\cent,65504,,single symbol
463,\currency,\currency,164,,single symbol
464,\textcircledP,\textcircledP,9413,,single symbol
465,\textcopyright,\textcopyright,169,COPYRIGHT SIGN,single symbol
466,\textservicemark,\textservicemark,8480,,single symbol
467,\textcopyleft,\textcopyleft,0,,single symbol
468,\textregistered,\textregistered,174,REGISTERED SIGN,single symbol
469,\texttrademark,\texttrademark,8482,TRADE MARK SIGN,single symbol
470,\textasteriskcentered,\textasteriskcentered,42,,single symbol
471,\textordfeminine,\textordfeminine,170,FEMININE ORDINAL INDICATOR,single symbol
472,\textbardbl,\textbardbl,0,,single symbol
473,\textordmasculine,\textordmasculine,186,MASCULINE ORDINAL INDICATOR,single symbol
474,\textbigcircle,\textbigcircle,0,,single symbol
475,\textparagraph,\textparagraph,182,PILCROW SIGN,single symbol
476,\textblank,\textblank,9250,,single symbol
477,\textperiodcentered,\textperiodcentered,729,DOT ABOVE,single symbol
478,\textbrokenbar,\textbrokenbar,166,BROKEN BAR,single symbol
479,\textpertenthousand,\textpertenthousand,8241,PER TEN THOUSAND SIGN,single symbol
480,\textbullet,\textbullet,8226,BULLET,single symbol
481,\textperthousand,\textperthousand,8240,PER MILLE SIGN,single symbol
482,\textdagger,\textdagger,8224,DAGGER,single symbol
483,\textpilcrow,\textpilcrow,182,,single symbol
484,\textdaggerdbl,\textdaggerdbl,8225,DOUBLE DAGGER,single symbol
485,\textquotesingle,\textquotesingle,39,APOSTROPHE,single symbol
486,\textdblhyphen,\textdblhyphen,11840,,single symbol
487,\textquotestraightbase,\textquotestraightbase,0,,single symbol
488,\textdblhyphenchar,\textdblhyphenchar,11840,,single symbol
489,\textquotestraightdblbase,\textquotestraightdblbase,0,,single symbol
490,\textdiscount,\textdiscount,8274,,single symbol
491,\textrecipe,\textrecipe,0,,single symbol
492,\textestimated,\textestimated,0,,single symbol
493,\textreferencemark,\textreferencemark,8251,,single symbol
494,\textinterrobang,\textinterrobang,8253,,single symbol
495,\textsection,\textsection,167,SECTION SIGN,single symbol
496,\textinterrobangdown,\textinterrobangdown,11800,,single symbol
497,\textthreequartersemdash,\textthreequartersemdash,0,,single symbol
498,\textmusicalnote,\textmusicalnote,9834,,single symbol
499,\texttildelow,\texttildelow,732,SMALL TILDE,single symbol
500,\textnumero,\textnumero,8470,,single symbol
501,\texttwelveudash,\texttwelveudash,0,,single symbol
502,\textopenbullet,\textopenbullet,0,,single symbol
503,\permil,\permil,8240,,single symbol
504,\mathdollar,\mathdollar,36,DOLLAR SIGN,single symbol
505,\mathparagraph,\mathparagraph,0,,single symbol
506,"Pound sign (sterling, thin)",\mathsterling,163,POUND SIGN,single symbol
507,\mathellipsis,\mathellipsis,8230,,single symbol
508,\mathsection,\mathsection,167,,single symbol
509,\mathunderscore,\mathunderscore,0,,single symbol
510,\amalg,\amalg,10815,AMALGAMATION OR COPRODUCT,single symbol
511,\cup,\cup,8746,UNION,single symbol
512,\oplus,\oplus,8853,CIRCLED PLUS,single symbol
513,\times,\times,215,MULTIPLICATION SIGN,single symbol
514,\ast,\ast,8727,ASTERISK OPERATOR,single symbol
515,\dagger,\dagger,8224,DAGGER,single symbol
516,\oslash,\oslash,8856,CIRCLED DIVISION SLASH,single symbol
517,\triangleleft,\triangleleft,9667,WHITE LEFT-POINTING SMALL TRIANGLE,single symbol
518,\bigcirc,\bigcirc,9711,LARGE CIRCLE,single symbol
519,\ddagger,\ddagger,8225,DOUBLE DAGGER,single symbol
520,\otimes,\otimes,8855,CIRCLED TIMES,single symbol
521,\triangleright,\triangleright,9657,WHITE RIGHT-POINTING SMALL TRIANGLE,single symbol
522,\bigtriangledown,\bigtriangledown,9661,WHITE DOWN-POINTING TRIANGLE,single symbol
523,\diamond,\diamond,9826,WHITE DIAMOND SUIT,single symbol
524,&pm;,\pm,177,PLUS-MINUS SIGN,single symbol
525,\bigtriangleup,\bigtriangleup,9651,WHITE UP-POINTING TRIANGLE,single symbol
526,\div,\div,247,DIVISION SIGN,single symbol
527,\bullet,\bullet,8729,BULLET OPERATOR,single symbol
528,\setminus,\setminus,10741,REVERSE SOLIDUS OPERATOR,single symbol
529,\uplus,\uplus,8846,MULTISET UNION,single symbol
530,\cap,\cap,8745,INTERSECTION,single symbol
531,\mp,\mp,8723,MINUS-OR-PLUS SIGN,single symbol
532,\sqcap,\sqcap,8851,SQUARE CAP,single symbol
533,\vee,\vee,8744,LOGICAL OR,single symbol
534,\odot,\odot,8857,CIRCLED DOT OPERATOR,single symbol
535,\sqcup,\sqcup,8852,SQUARE CUP,single symbol
536,\wedge,\wedge,8743,LOGICAL AND,single symbol
537,\circ,\circ,8728,RING OPERATOR,single symbol
538,\ominus,\ominus,8854,CIRCLED MINUS,single symbol
539,\star,\star,8902,STAR OPERATOR,single symbol
540,\wr,\wr,8768,WREATH PRODUCT,single symbol
541,\barwedge,\barwedge,8892,PROJECTIVE,single symbol
542,\circledcirc,\circledcirc,8858,CIRCLED RING OPERATOR,single symbol
543,\intercal,\intercal,8890,INTERCALATE,single symbol
544,\boxdot,\boxdot,8865,SQUARED DOT OPERATOR,single symbol
545,\circleddash,\circleddash,8861,CIRCLED DASH,single symbol
546,\leftthreetimes,\leftthreetimes,8907,LEFT SEMIDIRECT PRODUCT,single symbol
547,\boxminus,\boxminus,8863,SQUARED MINUS,single symbol
548,\Cup,\Cup,8915,DOUBLE UNION,single symbol
549,\ltimes,\ltimes,8905,LEFT NORMAL FACTOR SEMIDIRECT PRODUCT,single symbol
550,\boxplus,\boxplus,8862,SQUARED PLUS,single symbol
551,\curlyvee,\curlyvee,8910,CURLY LOGICAL OR,single symbol
552,\rightthreetimes,\rightthreetimes,8908,RIGHT SEMIDIRECT PRODUCT,single symbol
553,\boxtimes,\boxtimes,8864,SQUARED TIMES,single symbol
554,\curlywedge,\curlywedge,8911,CURLY LOGICAL AND,single symbol
555,\rtimes,\rtimes,8906,RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT,single symbol
556,\Cap,\Cap,8914,DOUBLE INTERSECTION,single symbol
557,\divideontimes,\divideontimes,8903,DIVISION TIMES,single symbol
558,\smallsetminus,\smallsetminus,8726,SET MINUS,single symbol
559,\centerdot,\centerdot,0,,single symbol
560,\dotplus,\dotplus,8724,DOT PLUS,single symbol
561,\veebar,\veebar,8891,XOR,single symbol
562,\circledast,\circledast,8859,CIRCLED ASTERISK OPERATOR,single symbol
563,\doublebarwedge,\doublebarwedge,10846,LOGICAL AND WITH DOUBLE OVERBAR,single symbol
564,\lhd,\lhd,9665,,single symbol
565,\ocircle,\ocircle,9898,,single symbol
566,\RHD,\RHD,9654,,single symbol
567,\unrhd,\unrhd,0,,single symbol
568,\LHD,\LHD,9664,,single symbol
569,\rhd,\rhd,9655,,single symbol
570,\unlhd,\unlhd,0,,single symbol
571,\bigcap,\bigcap,8898,N-ARY INTERSECTION,single symbol
572,\bigotimes,\bigotimes,10754,N-ARY CIRCLED TIMES OPERATOR,single symbol
573,\bigwedge,\bigwedge,8896,N-ARY LOGICAL AND,single symbol
574,\prod,\prod,8719,N-ARY PRODUCT,single symbol
575,\bigcup,\bigcup,8899,N-ARY UNION,single symbol
576,\bigsqcup,\bigsqcup,10758,N-ARY SQUARE UNION OPERATOR,single symbol
577,\coprod,\coprod,8720,N-ARY COPRODUCT,single symbol
578,\bigodot,\bigodot,10752,N-ARY CIRCLED DOT OPERATOR,single symbol
579,\biguplus,\biguplus,10756,N-ARY UNION OPERATOR WITH PLUS,single symbol
580,\bigoplus,\bigoplus,10753,N-ARY CIRCLED PLUS OPERATOR,single symbol
581,\bigvee,\bigvee,8897,N-ARY LOGICAL OR,single symbol
582,\oint,\oint,8750,CONTOUR INTEGRAL,single symbol
583,\parr,\parr,8523,,single symbol
584,\with,\with,38,,single symbol
585,\iint,\iint,8748,DOUBLE INTEGRAL,single symbol
586,\iiint,\iiint,8749,TRIPLE INTEGRAL,single symbol
587,\iiiint,\iiiint,10764,QUADRUPLE INTEGRAL OPERATOR,single symbol
588,\idotsint,\idotsint,0,,single symbol
589,\dotsint,\dotsint,0,,single symbol
590,\ointclockwise,\ointclockwise,8754,,single symbol
591,\fint,\fint,10767,INTEGRAL AVERAGE WITH SLASH,single symbol
592,\ointctrclockwise,\ointctrclockwise,8755,ANTICLOCKWISE CONTOUR INTEGRAL,single symbol
593,\sqiint,\sqiint,0,,single symbol
594,\sqint,\sqint,10774,QUATERNION INTEGRAL OPERATOR,single symbol
595,\varoiint,\varoiint,8751,,single symbol
596,\landdownint,\landdownint,0,,single symbol
597,\varointclockwise,\varointclockwise,8754,CLOCKWISE CONTOUR INTEGRAL,single symbol
598,\landupint,\landupint,0,,single symbol
599,\varointctrclockwise,\varointctrclockwise,8755,,single symbol
600,\oiint,\oiint,8751,SURFACE INTEGRAL,single symbol
601,\approx,\approx,8776,ALMOST EQUAL TO,single symbol
602,\not\approx,\not\approx,8777,NOT ALMOST EQUAL TO,single symbol
603,\equiv,\equiv,8801,IDENTICAL TO,single symbol
604,\not\equiv,\not\equiv,8802,NOT IDENTICAL TO,single symbol
605,\perp,\perp,10178,PERPENDICULAR,single symbol
606,\smile,\smile,8995,SMILE,single symbol
607,\asymp,\asymp,8781,EQUIVALENT TO,single symbol
608,\frown,\frown,8994,FROWN,single symbol
609,\prec,\prec,8826,PRECEDES,single symbol
610,\succ,\succ,8827,SUCCEEDS,single symbol
611,\bowtie,\bowtie,8904,BOWTIE,single symbol
612,\preceq,\preceq,10927,PRECEDES ABOVE SINGLE-LINE EQUALS SIGN,single symbol
613,\succeq,\succeq,10928,SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN,single symbol
614,\mid,\mid,8739,DIVIDES,single symbol
615,\vdash,\vdash,8866,RIGHT TACK,single symbol
616,\dashv,\dashv,8867,LEFT TACK,single symbol
617,\models,\models,8871,MODELS,single symbol
618,\sim,\sim,8764,TILDE OPERATOR,single symbol
619,\not\sim,\not\sim,8769,NOT TILDE,single symbol
620,\doteq,\doteq,8784,APPROACHES THE LIMIT,single symbol
621,\parallel,\parallel,8741,PARALLEL TO,single symbol
622,\simeq,\simeq,8771,ASYMPTOTICALLY EQUAL TO,single symbol
623,\not\simeq,\not\simeq,8772,NOT ASYMPTOTICALLY EQUAL TO,single symbol
624,\approxeq,\approxeq,8778,ALMOST EQUAL OR EQUAL TO,single symbol
625,\eqcirc,\eqcirc,8790,RING IN EQUAL TO,single symbol
626,\succapprox,\succapprox,10936,SUCCEEDS ABOVE ALMOST EQUAL TO,single symbol
627,\backepsilon,\backepsilon,1014,GREEK REVERSED LUNATE EPSILON SYMBOL,single symbol
628,\fallingdotseq,\fallingdotseq,8786,APPROXIMATELY EQUAL TO OR THE IMAGE OF,single symbol
629,\succcurlyeq,\succcurlyeq,8829,SUCCEEDS OR EQUAL TO,single symbol
630,\backsim,\backsim,8765,REVERSED TILDE,single symbol
631,\multimap,\multimap,8888,MULTIMAP,single symbol
632,\succsim,\succsim,8831,SUCCEEDS OR EQUIVALENT TO,single symbol
633,\backsimeq,\backsimeq,8909,REVERSED TILDE EQUALS,single symbol
634,\pitchfork,\pitchfork,8916,PITCHFORK,single symbol
635,\therefore,\therefore,8756,THEREFORE,single symbol
636,\because,\because,8757,BECAUSE,single symbol
637,\precapprox,\precapprox,10935,PRECEDES ABOVE ALMOST EQUAL TO,single symbol
638,\thickapprox,\thickapprox,0,,single symbol
639,\between,\between,8812,BETWEEN,single symbol
640,\preccurlyeq,\preccurlyeq,8828,PRECEDES OR EQUAL TO,single symbol
641,\thicksim,\thicksim,0,,single symbol
642,\Bumpeq,\Bumpeq,8782,GEOMETRICALLY EQUIVALENT TO,single symbol
643,\precsim,\precsim,8830,PRECEDES OR EQUIVALENT TO,single symbol
644,\varpropto,\varpropto,8733,,single symbol
645,\bumpeq,\bumpeq,8783,DIFFERENCE BETWEEN,single symbol
646,\risingdotseq,\risingdotseq,8787,IMAGE OF OR APPROXIMATELY EQUAL TO,single symbol
647,\Vdash,\Vdash,8873,FORCES,single symbol
648,\circeq,\circeq,8791,RING EQUAL TO,single symbol
649,\shortmid,\shortmid,0,,single symbol
650,\vDash,\vDash,8872,TRUE,single symbol
651,\curlyeqprec,\curlyeqprec,8926,EQUAL TO OR PRECEDES,single symbol
652,\shortparallel,\shortparallel,0,,single symbol
653,\Vvdash,\Vvdash,8874,TRIPLE VERTICAL BAR RIGHT TURNSTILE,single symbol
654,\curlyeqsucc,\curlyeqsucc,8927,EQUAL TO OR SUCCEEDS,single symbol
655,\smallfrown,\smallfrown,0,,single symbol
656,\doteqdot,\doteqdot,8785,GEOMETRICALLY EQUAL TO,single symbol
657,\smallsmile,\smallsmile,0,,single symbol
658,\ncong,\ncong,8775,NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO,single symbol
659,\nshortparallel,\nshortparallel,0,,single symbol
660,\nVDash,\nVDash,8879,NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE,single symbol
661,\nmid,\nmid,8740,DOES NOT DIVIDE,single symbol
662,\nsim,\nsim,8769,NOT TILDE,single symbol
663,\precnapprox,\precnapprox,10937,PRECEDES ABOVE NOT ALMOST EQUAL TO,single symbol
664,\nparallel,\nparallel,8742,NOT PARALLEL TO,single symbol
665,\nsucc,\nsucc,8833,DOES NOT SUCCEED,single symbol
666,\precnsim,\precnsim,8936,PRECEDES BUT NOT EQUIVALENT TO,single symbol
667,\nprec,\nprec,8832,DOES NOT PRECEDE,single symbol
668,\nsucceq,\nsucceq,0,,single symbol
669,\succnapprox,\succnapprox,10938,SUCCEEDS ABOVE NOT ALMOST EQUAL TO,single symbol
670,\npreceq,\npreceq,0,,single symbol
671,\nvDash,\nvDash,8877,NOT TRUE,single symbol
672,\succnsim,\succnsim,8937,SUCCEEDS BUT NOT EQUIVALENT TO,single symbol
673,\nshortmid,\nshortmid,0,,single symbol
674,\nvdash,\nvdash,8876,DOES NOT PROVE,single symbol
675,\inplus,\inplus,0,,single symbol
676,\niplus,\niplus,0,,single symbol
677,\sqsupseteq,\sqsupseteq,8850,SQUARE ORIGINAL OF OR EQUAL TO,single symbol
678,\sqsubseteq,\sqsubseteq,8849,SQUARE IMAGE OF OR EQUAL TO,single symbol
679,\nsubseteq,\nsubseteq,8840,NEITHER A SUBSET OF NOR EQUAL TO,single symbol
680,\subseteqq,\subseteqq,10949,SUBSET OF ABOVE EQUALS SIGN,single symbol
681,\supsetneqq,\supsetneqq,10956,SUPERSET OF ABOVE NOT EQUAL TO,single symbol
682,\nsupseteq,\nsupseteq,8841,NEITHER A SUPERSET OF NOR EQUAL TO,single symbol
683,\subsetneq,\subsetneq,8842,SUBSET OF WITH NOT EQUAL TO,single symbol
684,\varsubsetneq,\varsubsetneq,8842,,single symbol
685,\nsupseteqq,\nsupseteqq,0,,single symbol
686,\subsetneqq,\subsetneqq,10955,SUBSET OF ABOVE NOT EQUAL TO,single symbol
687,\varsubsetneqq,\varsubsetneqq,10955,,single symbol
688,\sqsubset,\sqsubset,8847,SQUARE IMAGE OF,single symbol
689,\Supset,\Supset,8913,DOUBLE SUPERSET,single symbol
690,\varsupsetneq,\varsupsetneq,8843,,single symbol
691,\sqsupset,\sqsupset,8848,SQUARE ORIGINAL OF,single symbol
692,\supseteqq,\supseteqq,10950,SUPERSET OF ABOVE EQUALS SIGN,single symbol
693,\varsupsetneqq,\varsupsetneqq,10956,,single symbol
694,\Subset,\Subset,8912,DOUBLE SUBSET,single symbol
695,\supsetneq,\supsetneq,8843,SUPERSET OF WITH NOT EQUAL TO,single symbol
696,\gg,\gg,8811,MUCH GREATER-THAN,single symbol
697,\ll,\ll,8810,MUCH LESS-THAN,single symbol
698,\neq,\neq,8800,,single symbol
699,\eqslantgtr,\eqslantgtr,10902,SLANTED EQUAL TO OR GREATER-THAN,single symbol
700,\gtrdot,\gtrdot,8919,GREATER-THAN WITH DOT,single symbol
701,\lesseqgtr,\lesseqgtr,8922,LESS-THAN EQUAL TO OR GREATER-THAN,single symbol
702,\ngeq,\ngeq,8817,NEITHER GREATER-THAN NOR EQUAL TO,single symbol
703,\eqslantless,\eqslantless,10901,SLANTED EQUAL TO OR LESS-THAN,single symbol
704,\gtreqless,\gtreqless,8923,GREATER-THAN EQUAL TO OR LESS-THAN,single symbol
705,\lesseqqgtr,\lesseqqgtr,10891,LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN,single symbol
706,\ngeqq,\ngeqq,0,,single symbol
707,\geqq,\geqq,8807,GREATER-THAN OVER EQUAL TO,single symbol
708,\gtreqqless,\gtreqqless,10892,GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN,single symbol
709,\lessgtr,\lessgtr,8822,LESS-THAN OR GREATER-THAN,single symbol
710,\ngeqslant,\ngeqslant,0,,single symbol
711,\geqslant,\geqslant,10878,GREATER-THAN OR SLANTED EQUAL TO,single symbol
712,\gtrless,\gtrless,8823,GREATER-THAN OR LESS-THAN,single symbol
713,\lesssim,\lesssim,8818,LESS-THAN OR EQUIVALENT TO,single symbol
714,\ngtr,\ngtr,8815,NOT GREATER-THAN,single symbol
715,\ggg,\ggg,8921,VERY MUCH GREATER-THAN,single symbol
716,\gtrsim,\gtrsim,8819,GREATER-THAN OR EQUIVALENT TO,single symbol
717,\lll,\lll,8920,VERY MUCH LESS-THAN,single symbol
718,\nleq,\nleq,8816,NEITHER LESS-THAN NOR EQUAL TO,single symbol
719,\gnapprox,\gnapprox,10890,GREATER-THAN AND NOT APPROXIMATE,single symbol
720,\gvertneqq,\gvertneqq,0,,single symbol
721,\lnapprox,\lnapprox,10889,LESS-THAN AND NOT APPROXIMATE,single symbol
722,\nleqq,\nleqq,0,,single symbol
723,\gneq,\gneq,10888,GREATER-THAN AND SINGLE-LINE NOT EQUAL TO,single symbol
724,\leqq,\leqq,8806,LESS-THAN OVER EQUAL TO,single symbol
725,\lneq,\lneq,10887,LESS-THAN AND SINGLE-LINE NOT EQUAL TO,single symbol
726,\nleqslant,\nleqslant,0,,single symbol
727,\gneqq,\gneqq,8809,GREATER-THAN BUT NOT EQUAL TO,single symbol
728,\leqslant,\leqslant,10877,LESS-THAN OR SLANTED EQUAL TO,single symbol
729,\lneqq,\lneqq,8808,LESS-THAN BUT NOT EQUAL TO,single symbol
730,\nless,\nless,8814,NOT LESS-THAN,single symbol
731,\gnsim,\gnsim,8935,GREATER-THAN BUT NOT EQUIVALENT TO,single symbol
732,\lessapprox,\lessapprox,10885,LESS-THAN OR APPROXIMATE,single symbol
733,\lnsim,\lnsim,8934,LESS-THAN BUT NOT EQUIVALENT TO,single symbol
734,\gtrapprox,\gtrapprox,10886,GREATER-THAN OR APPROXIMATE,single symbol
735,\lessdot,\lessdot,8918,LESS-THAN WITH DOT,single symbol
736,\lvertneqq,\lvertneqq,0,,single symbol
737,\blacktriangleleft,\blacktriangleleft,9666,BLACK LEFT-POINTING SMALL TRIANGLE,single symbol
738,\ntrianglelefteq,\ntrianglelefteq,8940,NOT NORMAL SUBGROUP OF OR EQUAL TO,single symbol
739,\trianglelefteq,\trianglelefteq,8884,NORMAL SUBGROUP OF OR EQUAL TO,single symbol
740,\vartriangleleft,\vartriangleleft,8882,NORMAL SUBGROUP OF,single symbol
741,\blacktriangleright,\blacktriangleright,9656,BLACK RIGHT-POINTING SMALL TRIANGLE,single symbol
742,\ntriangleright,\ntriangleright,8939,DOES NOT CONTAIN AS NORMAL SUBGROUP,single symbol
743,\triangleq,\triangleq,8796,DELTA EQUAL TO,single symbol
744,\vartriangleright,\vartriangleright,8883,CONTAINS AS NORMAL SUBGROUP,single symbol
745,\ntriangleleft,\ntriangleleft,8938,NOT NORMAL SUBGROUP OF,single symbol
746,\ntrianglerighteq,\ntrianglerighteq,8941,DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL,single symbol
747,\trianglerighteq,\trianglerighteq,8885,CONTAINS AS NORMAL SUBGROUP OR EQUAL TO,single symbol
748,\Downarrow,\Downarrow,8659,DOWNWARDS DOUBLE ARROW,single symbol
749,\longleftarrow,\longleftarrow,10229,LONG LEFTWARDS ARROW,single symbol
750,\nwarrow,\nwarrow,8598,NORTH WEST ARROW,single symbol
751,\downarrow,\downarrow,8595,DOWNWARDS ARROW,single symbol
752,\Longleftarrow,\Longleftarrow,10232,LONG LEFTWARDS DOUBLE ARROW,single symbol
753,\Rightarrow,\Rightarrow,8658,RIGHTWARDS DOUBLE ARROW,single symbol
754,\hookleftarrow,\hookleftarrow,8617,LEFTWARDS ARROW WITH HOOK,single symbol
