id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
3960,\bar{},\bar{},0,,nesting symbol
3961,\frac{\partial x}{\partial y},\frac{\partial x}{\partial y},0,,NULL
3962,\perp\!\!\!\perp,\perp\!\!\!\perp,10987,,single symbol
3963,i_{0},i_{0},0,,NULL
3964,|\tilde{\hat{\alpha}}|,|\tilde{\hat{\alpha}}|,0,,NULL
3965,\dot{a},\dot{a},551,,
3966,\vec{A},\vec{A},0,,NULL
3967,\hat{x},\hat{x},0,,NULL
3968,mod,mod,0,,NULL
3970,TM,TM,0,,NULL
3971,uwu,uwu,0,,NULL
3972,\upmodels,\upmodels,10987,,single symbol
3973,\oiiint,\oiiint,8752,,single symbol
3974,\leftmodels,\leftmodels,0,,single symbol
3975,III,III,0,,NULL
3977,\bigcup_{i=1},\bigcup_{i=1},0,,NULL
3978,\frac{\alpha \pm \beta}{2},\frac{\alpha \pm \beta}{2},0,,NULL
3979,< >,< >,0,,NULL
3980,\frac{y}{2},\frac{y}{2},0,,NULL
3982,AF,AF,0,,NULL
3984,\sqrt[2]{},\sqrt[2]{},0,,NULL
3985,\hateq,\hateq,8793,,single symbol
3987,\cmd,\cmd,8984,,single symbol
3989,\tilde{\equiv},\tilde{\equiv},0,,NULL
3990,2-3,2-3,0,,NULL
3992,WILDPOINT,WILDPOINT,0,,
3999,\hat{f},\hat{f},0,,NULL
4010,"0,1,2,3,4","0,1,2,3,4",0,,NULL
4011,\bar{A},\bar{A},0,,NULL
4023,\not{\ddagger},\not{\ddagger},0,,NULL
4172,\hat{=},\hat{=},0,,NULL
4174,\not{R},\not{R},0,,NULL
4183,\hat{},\hat{},0,,nesting symbol
4184,\not,\not,0,,NULL
4185,\not{\Vdash},\not{\Vdash},0,,NULL
4360,BAT,BAT,0,,NULL
4362,\sum_{k=0}^{n},\sum_{k=0}^{n},0,,NULL
4363,y=x^{2},y=x^{2},0,,NULL
4364,Nigger,Nigger,0,,NULL
4365,Ha!,Ha!,0,,NULL
4366,\log x,\log x,0,,NULL
4367,Hi,Hi,0,,NULL
4368,\hat{a},\hat{a},0,,NULL
4369,\bar{\lambda},\bar{\lambda},0,,NULL
4370,"\""{i}","\""{i}",239,,single symbol
4371,"\""{e}","\""{e}",235,,single symbol
4410,\vec{a},\vec{a},0,,NULL
4412,Я,Я,1103,,single symbol
4413,\multimapinv,\multimapinv,0,,single symbol
4414,\multimapdotboth,\multimapdotboth,0,,single symbol
4415,\coronaeq,\coronaeq,0,,single symbol
4416,\curlyveeuparrow,\curlyveeuparrow,0,,single symbol
4417,\drsh,\drsh,8627,,single symbol
4420,à,à,224,,single symbol
4421,\multimapdotbothA,\multimapdotbothA,0,,single symbol
4422,\multimapboth,\multimapboth,0,,
4423,\curvearrowleftright,\curvearrowleftright,0,,single symbol
