id,tag_id,symbol_id
425,1,59
534,1,430
11,1,748
3975,1,749
417,1,750
32,1,751
3980,1,752
24,1,753
462,1,754
3982,1,755
198,1,756
3986,1,757
2,1,758
3984,1,759
6,1,760
430,1,761
3990,1,762
429,1,763
12,1,764
3988,1,765
447,1,766
13,1,767
336,1,768
449,1,769
200,1,770
431,1,771
26,1,772
199,1,778
432,1,780
448,1,782
4,1,783
460,1,784
436,1,785
27,1,786
453,1,787
435,1,788
28,1,789
367,1,790
434,1,791
29,1,792
14,1,793
25,1,794
10,1,795
30,1,796
450,1,797
454,1,798
31,1,799
445,1,800
426,1,801
5,1,802
9,1,803
457,1,804
461,1,805
440,1,806
3889,1,807
3913,1,808
3933,1,809
3878,1,810
3901,1,811
3938,1,812
456,1,818
22,1,819
3953,1,820
418,1,821
427,1,823
458,1,824
23,1,825
3959,1,826
1,1,828
7,1,829
3972,1,830
18,1,831
8,1,832
3978,1,833
443,1,834
3969,1,835
3956,1,836
3800,1,1175
21,1,1203
500,1,4416
501,1,4417
3704,1,4423
3725,1,4438
3729,1,4439
3845,1,4816
3850,1,4820
3853,1,4821
3855,1,4822
39,2,183
44,2,582
38,2,585
37,2,586
36,2,587
35,2,588
33,2,589
53,2,590
49,2,591
46,2,592
52,2,593
55,2,594
57,2,595
40,2,596
58,2,597
41,2,598
54,2,599
43,2,600
42,2,3973
3840,2,4812
3843,2,4817
63,3,271
121,3,272
3420,3,273
123,3,275
3421,3,276
124,3,278
59,3,279
170,3,281
3423,3,282
64,3,283
3344,3,284
3424,3,285
169,3,287
3425,3,288
65,3,289
160,3,290
3426,3,291
66,3,292
165,3,293
3427,3,294
67,3,295
164,3,296
3428,3,297
68,3,298
3429,3,300
69,3,301
163,3,302
3430,3,303
125,3,305
70,3,307
126,3,308
3582,3,310
127,3,311
3431,3,312
72,3,313
128,3,314
3432,3,315
73,3,316
129,3,317
3433,3,318
130,3,320
3434,3,321
3289,3,322
131,3,323
3721,3,324
76,3,325
134,3,326
60,3,327
3291,3,328
78,3,331
3638,3,332
3296,3,334
312,3,335
81,3,337
139,3,338
3437,3,339
82,3,340
140,3,341
141,3,344
3438,3,345
3299,3,346
142,3,347
3441,3,348
145,3,350
3443,3,351
3300,3,352
146,3,353
148,3,356
3445,3,357
84,3,358
149,3,359
3634,3,360
85,3,361
150,3,362
3447,3,363
86,3,364
151,3,365
3453,3,366
87,3,367
61,3,368
3455,3,369
62,3,371
3456,3,372
88,3,373
3647,3,374
3457,3,375
89,3,376
3458,3,378
90,3,379
3459,3,381
91,3,382
3389,3,383
3460,3,384
92,3,385
254,3,386
3461,3,390
3462,3,393
104,3,394
3401,3,395
3463,3,396
106,3,400
3464,3,402
107,3,403
3407,3,404
3465,3,405
109,3,406
3408,3,407
3466,3,408
110,3,409
3409,3,410
3467,3,411
111,3,412
3410,3,413
3471,3,414
678,3,415
3411,3,416
3472,3,417
56,3,418
3412,3,419
3473,3,420
114,3,421
3413,3,422
3474,3,423
117,3,424
3414,3,425
3475,3,426
118,3,427
3416,3,428
3477,3,429
533,3,430
3418,3,431
3479,3,432
120,3,433
3419,3,434
686,4,435
209,4,436
553,4,437
691,4,438
544,4,439
211,4,440
555,4,441
698,4,442
699,4,443
563,4,444
560,4,445
77,4,446
216,4,447
707,4,448
93,4,449
547,4,450
711,4,451
3682,4,464
80,4,465
3440,4,466
3696,4,467
3406,4,468
3454,4,469
3268,4,470
3387,4,471
3271,4,472
3388,4,473
3280,4,474
381,4,475
83,4,476
3391,4,477
3282,4,478
3392,4,479
3283,4,480
3393,4,481
94,4,482
3396,4,483
95,4,484
3398,4,485
3723,4,486
3399,4,487
97,4,488
3400,4,489
99,4,490
3404,4,491
112,4,492
3405,4,493
132,4,494
3849,4,495
133,4,496
3809,4,497
158,4,498
3451,4,499
156,4,500
3468,4,501
3386,4,502
108,4,779
806,4,780
138,4,781
808,4,782
3362,4,925
3402,4,926
137,4,927
3403,4,928
147,4,929
3417,4,930
98,4,978
155,4,979
3448,4,980
100,4,981
154,4,982
3735,4,983
116,4,984
3740,4,985
3452,4,986
144,4,987
3397,4,988
3734,4,989
3724,4,990
3444,4,991
159,5,498
258,5,953
259,5,954
166,5,1695
161,5,1720
260,5,1721
167,5,3925
385,6,81
171,6,82
172,6,87
175,6,89
384,6,116
173,6,117
183,6,150
386,6,151
176,6,152
410,6,153
179,6,154
181,6,155
3636,6,156
411,6,157
3588,6,158
3637,6,159
3642,6,160
3641,6,161
3573,6,162
3643,6,163
174,6,164
396,6,165
383,6,166
3824,6,167
3579,6,168
180,6,169
3644,6,170
3825,6,171
3826,6,172
3827,6,173
252,6,174
184,6,175
257,6,176
177,6,177
3645,6,178
3646,6,179
182,6,180
178,6,181
3583,6,310
3722,6,324
3639,6,332
313,6,335
3635,6,360
3648,6,374
253,6,386
599,6,415
3633,6,837
255,6,841
256,6,842
3632,6,843
3630,6,844
3628,6,845
3626,6,846
570,6,847
382,6,848
3624,6,849
218,6,850
3585,6,851
3622,6,852
3590,6,853
3620,6,854
3618,6,855
3581,6,856
3587,6,857
484,6,858
3616,6,859
3614,6,860
3612,6,861
3610,6,862
414,6,863
596,6,864
540,6,865
395,6,866
3575,6,867
3608,6,868
3606,6,869
185,6,870
3604,6,871
3602,6,872
3600,6,873
483,6,874
3598,6,875
416,6,876
3596,6,877
3594,6,878
3592,6,879
251,6,880
186,7,70
187,7,71
188,7,72
189,7,73
190,7,74
191,7,75
192,7,76
193,7,77
194,7,78
195,7,79
3736,7,983
3739,7,985
3733,7,989
240,8,1160
239,8,1165
3833,8,1166
569,8,1167
610,8,1170
